id_source,source,target,type,weight
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Luật 69/2014/QH13 Quản lý, sử dụng vốn nhà nước đầu tư vào sản xuất, kinh doanh tại doanh nghiệp",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 857/NQ-UBTVQH13 Về việc tổ chức lấy ý kiến Nhân dân đối với dự thảo Bộ luật dân sự (sửa đổi),directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 68/2014/QH13 Doanh nghiệp,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 67/2014/QH13 Đầu tư,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 66/2014/QH13 Kinh doanh bất động sản,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Luật 61/2014/QH13 Sửa đổi, bổ sung một số điều của Luật Hàng không dân dụng Việt Nam",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 60/2014/QH13 Hộ tịch,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 58/2014/QH13 Bảo hiểm xã hội,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 59/2014/QH13 Căn cước công dân,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 65/2014/QH13 Nhà ở,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Luật 64/2014/QH13 Sửa đổi, bổ sung một số điều của Luật thi hành án dân sự",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 81/2014/QH13 Về việc thi hành Luật Tổ chức tòa án nhân dân,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 62/2014/QH13 Tổ chức Tòa án nhân dân,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 57/2014/QH13 Tổ chức Quốc hội,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 79/2014/QH13 Về phân bổ ngân sách Trung ương năm 2015,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Nghị quyết 78/2014/QH13 Về dự toán ngân sách nhà nước năm 2015,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 63/2014/QH13 Tổ chức Viện kiểm sát nhân dân,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Luật 71/2014/QH13 Sửa đổi, bổ sung một số điều của các luật về thuế",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Pháp lệnh 09/2014/UBTVQH13 Trình tự, thủ tục xem xét, quyết định áp dụng các biện pháp xử lý hành chính tại Tòa án nhân dân",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 55/2014/QH13 Bảo vệ môi trường,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 52/2014/QH13 Hôn nhân và gia đình,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 51/2014/QH13 Phá sản,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 50/2014/QH13 Xây dựng,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 49/2014/QH13 Đầu tư công,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Luật 48/2014/QH13 Luật Sửa đổi, bổ sung một số điều của Luật Giao thông đường thủy nội địa",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Luật 47/2014/QH13 Nhập cảnh, xuất cảnh, quá cảnh, cư trú của người nước ngoài tại Việt Nam",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Luật 46/2014/QH13 Sửa đổi, bổ sung một số điều của Luật Bảo hiểm y tế",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 38/2013/QH13 Việc làm,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Luật 39/2013/QH13 Sửa đổi, bổ sung một số điều của Luật Thi đua, khen thưởng",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Luật 40/2013/QH13 Sửa đổi, bổ sung một số điều của Luật Phòng cháy và chữa cháy",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 41/2013/QH13 Bảo vệ và kiểm dịch thực vật,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 42/2013/QH13 Tiếp công dân,directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,"Luật 44/2013/QH13 Thực hành tiết kiệm, chống lãng phí",directed,3
5e1891633873022f3d7c1005,Hiến pháp Không số Hiến pháp năm 2013,Luật 104/2016/QH13 Tiếp cận thông tin,directed,3
